Gene symbol	type1	type2	type3	type4	type5	type6	type7	type8
Gene1	0.562388022938678	3.34017899936886	0.548371875241436	0.550098583969365	1.70400448674198	0.524582552243422	0.57483141628566	0.528757379495777
Gene2	0.154907181487668	0.148485980339554	0.168137831727888	0.160180922792783	0.161948917315402	0.155876634214611	0.160808704871008	0.16209458239532
Gene3	0.278675030663808	0.280876991839811	2.25424274261271	0.267770256089403	0.164498185111159	1.5572213547922	0.276472094598004	1.4283318626571
Gene4	0.160483366077027	0.149430631401292	1.816888991068	0.152571418051761	2.03033473506585	0.158553420661248	0.170177711262779	0.156313492380334
Gene5	0.101059823003327	1.90127812022543	1.90483855787791	1.30379816830547	0.102955338873869	0.894173018409037	0.10086806658953	0.0993079503953771
Gene6	1.06987192112962	1.06424042370722	1.0784796704032	0.987440115680068	1.09011909544535	1.05969500133253	1.05137561121389	2.51975145964288
Gene7	1.30191647326636	0.165452627862502	0.164493716910046	0.162309877010785	0.156521888606969	0.158461482030955	0.170723870375379	0.162370813544408
Gene8	0.161288862537514	0.162990069947413	0.219994206278125	0.158098448389323	0.166966515817469	0.165167156207961	1.91949232203467	0.158405226743341
Gene9	0.187635595794112	0.182623856508141	0.780357498700914	0.197809791252786	0.191832023991009	0.18925497528041	1.51660959710262	0.183520860365954
Gene10	1.53131269609192	0.236907401298341	1.57396900484899	0.245716948972865	0.244756419797729	1.17782409710698	2.45439234379655	0.230511119273456
Gene11	0.367818111447446	0.117562850859136	0.119795309132511	0.115556854570501	0.119639816170462	0.11497280077254	0.112014935891539	0.12071087396462
Gene12	0.116949231540574	1.0204316889179	0.120909512425499	0.116792480397356	0.116071784176191	0.111457731575662	1.08475401339415	0.118238275997438
Gene13	0.989949007130341	1.01035047517223	0.788384589763101	1.02554390659728	2.94061532745268	1.01667443800887	1.0510747334915	1.03229833230136
Gene14	1.12478603624584	1.18970562099154	1.15182262573203	1.18755017636081	0.852839490190856	0.854907457454855	1.19565652860323	1.8969062692472
Gene15	0.48586197321335	0.489962651205288	0.475367645831679	0.248984313223947	0.474838584013983	0.475167430904891	0.497038567155062	0.488664563078803
Gene16	2.13571599772463	0.307728840034148	1.6235596993945	0.303583464171514	0.311122930570677	0.29127486329354	0.312903658698325	2.86674587540308
Gene17	0.16540658798909	0.601396241333865	1.00782744790649	0.15945571441233	0.167568836694816	0.16424346116307	0.166313722978661	0.162658769663303
Gene18	0.121538838871275	0.121135361297954	0.123247103140327	0.12205595800113	0.124331200474582	0.117723427353229	0.119837447653135	2.50340278916272
Gene19	0.197305252250859	0.202598800627221	0.201438237487604	0.197013338528405	0.205557510912807	0.195017564821398	0.189567623329532	0.183503987854272
Gene20	0.867662261417669	1.18051517978729	0.679059265477369	0.681582339001478	0.713130858018708	2.05970595756871	0.72559665342226	0.676045359452447
Gene21	0.44057067299486	0.240001091176963	0.227512644966611	0.247838101500296	0.237715916053561	0.238149308732109	0.239649579839171	1.07939925122334
Gene22	0.13572981131517	0.103891422381689	0.135625614178933	0.13607906372528	0.137477326404057	0.134981151491311	0.141488837965239	1.93221123779717
Gene23	0.264718203176505	2.32669392794604	0.26888264967458	0.27089865246038	2.05573359857241	0.259152465166377	1.20408656784243	0.267712579200938
Gene24	0.105498197230436	0.837093965513486	0.10959082396672	1.99002974747485	0.111450547103014	0.10877130622009	0.105444458222903	4.00830497614679
Gene25	0.997131610686997	1.00848478206209	2.30787171064484	1.01759330829909	0.980480596298584	1.00228817933761	2.51327806618615	0.962731378599467
Gene26	0.0704991714659543	0.0716341405790212	0.0743336418068685	0.104881436019797	0.369819095047007	0.718256708952173	0.0731530733533007	0.40890149304361
